column,cluster,mechanism,separation
bidirectional_duration_ms,9,duration,0.442
bidirectional_packets,9,total_volume,0.121
bidirectional_bytes,9,total_volume,0.273
src2dst_duration_ms,9,duration,0.432
src2dst_packets,9,client_volume,0.138
src2dst_bytes,9,client_volume,0.278
dst2src_duration_ms,9,duration,0.389
dst2src_packets,9,server_response,0.102
dst2src_bytes,9,server_response,0.253
bidirectional_min_ps,5,packet_size,2.0
bidirectional_mean_ps,8,packet_size,0.081
bidirectional_stddev_ps,7,packet_size,1.026
bidirectional_max_ps,7,packet_size,2.884
src2dst_min_ps,5,packet_size,2.0
src2dst_mean_ps,7,packet_size,0.544
src2dst_stddev_ps,7,packet_size,1.671
src2dst_max_ps,7,packet_size,3.634
dst2src_min_ps,8,packet_size,2.0
dst2src_mean_ps,8,packet_size,0.373
dst2src_stddev_ps,6,packet_size,0.269
dst2src_max_ps,8,packet_size,0.456
bidirectional_min_piat_ms,10,inter_arrival,0.0
bidirectional_mean_piat_ms,3,inter_arrival,1.989
bidirectional_stddev_piat_ms,3,inter_arrival,2.658
bidirectional_max_piat_ms,3,inter_arrival,3.069
src2dst_min_piat_ms,11,inter_arrival,0.089
src2dst_mean_piat_ms,3,inter_arrival,2.001
src2dst_stddev_piat_ms,3,inter_arrival,3.19
src2dst_max_piat_ms,3,inter_arrival,3.068
dst2src_min_piat_ms,1,inter_arrival,0.0
dst2src_mean_piat_ms,3,inter_arrival,1.971
dst2src_stddev_piat_ms,4,inter_arrival,3.447
dst2src_max_piat_ms,3,inter_arrival,3.069
bidirectional_cwr_packets,12,flags_other,
bidirectional_ece_packets,12,flags_other,
bidirectional_ack_packets,9,unassigned,0.121
bidirectional_psh_packets,9,packet_size,0.2
bidirectional_rst_packets,13,unassigned,
src2dst_cwr_packets,12,flags_other,
src2dst_ece_packets,12,flags_other,
src2dst_ack_packets,9,client_volume,0.169
src2dst_psh_packets,9,client_volume,0.033
src2dst_rst_packets,14,unassigned,
dst2src_cwr_packets,16,flags_other,
dst2src_ece_packets,12,flags_other,
dst2src_ack_packets,9,server_response,0.102
dst2src_psh_packets,2,server_response,2.0
dst2src_rst_packets,15,server_response,
