bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,label,device,scenario,source,flow_key
61292,125,8476,61291,62,4696,61292,63,3780,60,67.80799999999999,8.029879684150657,76,60,75.74193548387098,2.0320020320030476,76,60,60.0,0.0,60,0,494.2903225806452,512.0903085718655,1040,16,1004.7704918032784,128.8621218515644,1040,0,988.5806451612904,180.59950696037637,1040,0,0,125,63,0,0,0,62,62,0,0,0,63,1,0,0,edge1,ddos_edge1_8000,attack_capture,a90c0ba6a50ebbd7
61013,296,171986,61013,173,149460,61013,123,22526,66,581.0337837837837,624.7650342387365,2577,66,863.9306358381501,682.5015681370097,2577,66,183.1382113821139,118.38865732687346,303,0,206.82372881355937,407.18614153332504,1047,0,354.7267441860465,481.9640504718505,1047,3,500.1065573770492,505.45710933582984,1047,0,0,296,122,0,0,0,173,61,0,0,0,123,61,0,0,edge1,ddos_edge1_8000,attack_capture,832f7fdb21df8504
61274,250,16926,61274,125,9426,61273,125,7500,60,67.70399999999997,8.020079219230375,96,60,75.408,3.08245817280572,96,60,60.0,0.0,60,0,246.08032128514057,430.2300884484347,1036,2,494.1451612903224,499.80886905511454,1036,0,494.13709677419354,499.92969155554255,1036,0,0,250,125,0,0,0,125,124,0,0,0,125,1,0,0,edge1,ddos_edge1_8000,attack_capture,c352012b7a3227a0
144,3,306,144,2,183,0,1,123,60,102.0,36.373066958946424,123,60,91.5,44.54772721475249,123,123,123.0,0.0,123,60,72.0,16.97056274847714,84,144,144.0,0.0,144,0,0.0,0.0,0,0,0,3,2,0,0,0,2,1,0,0,0,1,1,0,0,edge1,ddos_edge1_8000,attack_capture,f76d31dcaeba3feb
45323,15,1237,45323,8,767,45323,7,470,66,82.46666666666668,42.38238627857882,234,66,95.875,56.07504537925685,234,66,67.14285714285714,3.0237157840738176,74,0,3237.3571428571427,6406.289825177739,15089,0,6474.714285714286,8029.117878370071,15089,0,7553.833333333334,8220.60205621624,15089,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,6428bc4aa5922f25
45322,15,1238,45322,8,768,45322,7,470,66,82.53333333333333,42.372273054552124,234,66,96.0,56.02550439627602,234,66,67.14285714285714,3.0237157840738176,74,0,3237.285714285714,6406.145744260218,15088,0,6474.571428571429,8029.249193981192,15089,0,7553.666666666667,8220.78131728771,15088,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,e22299b00d7e2057
45322,15,1237,45322,8,767,45322,7,470,66,82.46666666666668,42.38238627857882,234,66,95.875,56.07504537925685,234,66,67.14285714285714,3.0237157840738176,74,0,3237.285714285714,6406.324500397682,15088,0,6474.571428571428,8029.248073079298,15088,0,7553.666666666667,8220.777327398346,15088,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,704e56650ccd2c25
45321,15,1238,45321,8,768,45321,7,470,66,82.53333333333333,42.372273054552124,234,66,96.0,56.02550439627602,234,66,67.14285714285714,3.0237157840738176,74,0,3237.2142857142853,6406.542331309233,15088,0,6474.428571428572,8029.688783033932,15088,0,7553.5,8221.323682960061,15088,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,0633786a0632fdef
45318,15,1236,45318,8,766,45318,7,470,66,82.39999999999999,42.39238476087758,234,66,95.75,56.12422446171147,234,66,67.14285714285714,3.0237157840738176,74,0,3237.0,6407.011567866038,15088,0,6474.0,8030.701484511384,15088,0,7553.0,8222.589324537617,15088,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,d42428c8bcd877f0
45316,15,1237,45316,8,767,45316,7,470,66,82.46666666666668,42.38238627857882,234,66,95.875,56.07504537925685,234,66,67.14285714285714,3.0237157840738176,74,0,3236.8571428571427,6406.904002800331,15088,0,6473.714285714286,8031.273907135067,15088,0,7552.666666666667,8222.58807594462,15088,0,0,14,6,0,0,0,7,6,0,0,0,7,0,0,1,edge1,ddos_edge1_8000,attack_capture,797b305a7ea56d64
