text,label,device,scenario,flow_key
client max packet size is 234 | server mean packet size is 67 | server bytes is 536 | server stddev packet size is 2.83 | client max inter-arrival is 15.0s | server stddev inter-arrival is 8.0s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,dos_edge1_8000,05f2f8b59b2a3c6d
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,36305902f3f0fc90
client max packet size is 234 | server mean packet size is 126.50 | server bytes is 1012 | server stddev packet size is 170.35 | client max inter-arrival is 15.0s | server stddev inter-arrival is 6.6s | server psh packets is 1 | client min inter-arrival is 0.0s | total min packet size is 60 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 1 | total rst packets is 1,1,edge1,dos_edge1_80,ae5981a6a02cde8d
client max packet size is 234 | server mean packet size is 67.33 | server bytes is 404 | server stddev packet size is 3.27 | client max inter-arrival is 19.0s | server stddev inter-arrival is 9.8s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_80,ed4277d98a0665f2
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,9f9971bc10e2842b
client max packet size is 234 | server mean packet size is 126.50 | server bytes is 1012 | server stddev packet size is 170.35 | client max inter-arrival is 15.0s | server stddev inter-arrival is 6.4s | server psh packets is 1 | client min inter-arrival is 0.0s | total min packet size is 60 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 1 | total rst packets is 1,1,edge1,dos_edge1_80,54b12a3ec757b3fd
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,5d99660a8ab2d726
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,f15806bca46e2363
client max packet size is 234 | server mean packet size is 67 | server bytes is 536 | server stddev packet size is 2.83 | client max inter-arrival is 15.0s | server stddev inter-arrival is 8.0s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,dos_edge1_8000,884f7e173efd3dfd
client max packet size is 234 | server mean packet size is 67.33 | server bytes is 404 | server stddev packet size is 3.27 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.3s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,9811362882c2c372
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,978db118bb798e70
client max packet size is 234 | server mean packet size is 135.14 | server bytes is 946 | server stddev packet size is 182.10 | client max inter-arrival is 26.5s | server stddev inter-arrival is 10.5s | server psh packets is 1 | client min inter-arrival is 0.0s | total min packet size is 60 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 1 | total rst packets is 1,1,edge1,ddos_edge1_80,c4762fc5d6b69cb0
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,2dd3cb1f006552bf
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,439458f3b45076b2
client max packet size is 234 | server mean packet size is 67 | server bytes is 536 | server stddev packet size is 2.83 | client max inter-arrival is 15.0s | server stddev inter-arrival is 8.0s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,dos_edge1_8000,caf8ef22e9f2825c
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,ee78932a1adcf0c7
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,2ea20c749e328483
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,bf21a085b11b3a19
client max packet size is 234 | server mean packet size is 67.33 | server bytes is 404 | server stddev packet size is 3.27 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.3s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,7929af28e5013e59
client max packet size is 234 | server mean packet size is 126.50 | server bytes is 1012 | server stddev packet size is 170.35 | client max inter-arrival is 15.0s | server stddev inter-arrival is 6.6s | server psh packets is 1 | client min inter-arrival is 0.0s | total min packet size is 60 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 1 | total rst packets is 1,1,edge1,dos_edge1_80,195c1d2212284a7c
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,192870072df76e3a
client max packet size is 234 | server mean packet size is 67.60 | server bytes is 338 | server stddev packet size is 3.58 | client max inter-arrival is 22.1s | server stddev inter-arrival is 12.0s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_80,b4b604c8d0e1bd4c
client max packet size is 234 | server mean packet size is 67.33 | server bytes is 404 | server stddev packet size is 3.27 | client max inter-arrival is 19.0s | server stddev inter-arrival is 9.8s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_80,cca0d1808d4dc80b
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,3424b7b4d7545fb4
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,e1a660b68a0d6b9d
client max packet size is 234 | server mean packet size is 120.44 | server bytes is 1084 | server stddev packet size is 160.36 | client max inter-arrival is 15.0s | server stddev inter-arrival is 7.4s | server psh packets is 1 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,dos_edge1_80,cdafa2616650e108
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,4873958dac9d260d
client max packet size is 234 | server mean packet size is 67.14 | server bytes is 470 | server stddev packet size is 3.02 | client max inter-arrival is 15.1s | server stddev inter-arrival is 8.2s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 0.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0,1,edge1,ddos_edge1_8000,9f552d91c2a7a7ff
