split,prob_attack,pred,label,device,scenario,text
test,0.006709546,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.1s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.0s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.0s | server rst packets is 0 | total rst packets is 0
test,0.006607961,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 12.9s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006633027,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.1s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066125602,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.3s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006708453,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.0s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.0s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.0s | server rst packets is 0 | total rst packets is 0
test,0.0066108378,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.2s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006638986,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.0s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066095414,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.4s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066328696,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.2s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066125602,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.3s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006708453,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.0s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.0s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.0s | server rst packets is 0 | total rst packets is 0
test,0.0065938276,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 253 | server mean packet size is 74 | server bytes is 296 | server stddev packet size is 0 | client max inter-arrival is 7.3s | server stddev inter-arrival is 1.5s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006633027,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.1s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066101304,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.1s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066108378,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.2s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066186143,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 296 | server stddev packet size is 0 | client max inter-arrival is 7.2s | server stddev inter-arrival is 1.5s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006613582,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.0s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066221743,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 296 | server stddev packet size is 0 | client max inter-arrival is 6.8s | server stddev inter-arrival is 1.5s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006708453,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.0s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.0s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.0s | server rst packets is 0 | total rst packets is 0
test,0.006709546,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.1s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.0s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.0s | server rst packets is 0 | total rst packets is 0
test,0.00661895,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 296 | server stddev packet size is 0 | client max inter-arrival is 3.4s | server stddev inter-arrival is 1.5s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066316137,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.4s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006620076,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 296 | server stddev packet size is 0 | client max inter-arrival is 6.7s | server stddev inter-arrival is 1.5s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.006633027,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 255 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.1s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0066101304,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 254 | server mean packet size is 74 | server bytes is 444 | server stddev packet size is 0 | client max inter-arrival is 13.1s | server stddev inter-arrival is 6.1s | server psh packets is 0 | client min inter-arrival is 0.0s | total min packet size is 66 | server min inter-arrival is 1.0s | total min inter-arrival is 0.0s | server rst packets is 0 | total rst packets is 0
test,0.0067097396,0,1,wisenet-camera,ddos_wisenet-camera_80,client max packet size is 74 | server mean packet size is 0 | server bytes is 0 | server stddev packet size is 0 | client max inter-arrival is 2.1s | server stddev inter-arrival is 0.0s | server psh packets is 0 | client min inter-arrival is 1.1s | total min packet size is 74 | server min inter-arrival is 0.0s | total min inter-arrival is 1.1s | server rst packets is 0 | total rst packets is 0
