epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.337129034779405,0.016980330361303263,107.01176908396883,0.9978289188015632,0.9958751124152829,0.9968017057569296,0.9925690021231423,0.9946808510638298,0.9933205236453663,935.0,3.0,3661.0,7.0,0.0008187772925764192,0.0074309978768577496,0.9994703449340413,0.9998528171038115
2,0.015488428986519089,0.009008302730522302,107.02714470797218,0.9973947025618758,0.9983624454148472,0.9874213836477987,1.0,0.9936708860759493,0.992062231323851,942.0,12.0,3652.0,0.0,0.0032751091703056767,0.0,0.9999384294922242,0.9999840648439166
3,0.005996871644201602,0.00402427881460615,106.97379108401947,0.9978289188015632,0.9982410484985027,0.9905263157894737,0.9989384288747346,0.9947145877378436,0.9933625619782442,941.0,9.0,3655.0,1.0,0.0024563318777292577,0.0010615711252653928,0.9999888490428017,0.999997102698894
4,0.006447865998566588,0.0027786076491319706,106.97758387500653,0.9991315675206253,0.9990598257910791,0.996822033898305,0.9989384288747346,0.9978791092258749,0.9973339961203086,941.0,3.0,3661.0,1.0,0.0008187772925764192,0.0010615711252653928,0.9999899535855654,0.9999973924290045
5,0.0017250901420637452,0.004533127113399604,107.0000720830285,0.998697351280938,0.998786900026887,0.9947145877378436,0.9989384288747346,0.996822033898305,0.9960063504370883,941.0,5.0,3659.0,1.0,0.0013646288209606986,0.0010615711252653928,0.9999888089772764,0.999997102698894
6,0.0009990402440112583,0.002072550167750282,106.77507945901016,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999899535855653,0.9999973924290045
7,0.00327620778381629,0.001816360878770416,107.00334054097766,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999943950838159,0.9999985513494469
8,0.0005980845818823083,0.0021483413217202253,107.28984837495955,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999888490428018,0.999997102698894
9,0.00030262725105171417,0.002439895203102069,107.21594245900633,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9999910604536819,0.9999976821591152
10,0.00029758295148520563,0.0026083312863670045,107.42891779198544,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.999991060453682,0.9999976821591152
