epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.519263262048477,0.23822395372820376,27.764972541015595,0.9400781589231437,0.9114686187522599,0.846875,0.8630573248407644,0.8548895899053628,0.8171954682579278,813.0,147.0,3517.0,129.0,0.040120087336244545,0.13694267515923567,0.9618528331549417,0.9879562090321624
2,0.10373493789233755,0.020238690031753045,27.036599832994398,0.9978289188015632,0.9950864670542097,0.9989293361884368,0.9904458598726115,0.9946695095948828,0.9933206417538779,933.0,1.0,3663.0,9.0,0.0002729257641921397,0.009554140127388535,0.9982459191738391,0.9994144554464626
3,0.01951947541724738,0.015128926482598353,26.755640875024255,0.9978289188015632,0.9950864670542097,0.9989293361884368,0.9904458598726115,0.9946695095948828,0.9933206417538779,933.0,1.0,3663.0,9.0,0.0002729257641921397,0.009554140127388535,0.9996481226443488,0.9999052582538315
4,0.017351230476530206,0.012787788417077083,26.64445495797554,0.9978289188015632,0.9950864670542097,0.9989293361884368,0.9904458598726115,0.9946695095948828,0.9933206417538779,933.0,1.0,3663.0,9.0,0.0002729257641921397,0.009554140127388535,0.999936591990511,0.9999834853836954
5,0.013300743779549096,0.010124845856184377,26.774933207954746,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9999708577807689,0.9999924670171242
6,0.007202789925158137,0.005670211742350228,26.94295062503079,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9999875784235932,0.9999968129687833
7,0.0038138691882137377,0.00412159825840385,26.911198917019647,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999887282139149,0.999997102698894
8,0.0034682219262800133,0.0037625712681544723,27.091978917014785,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999909725171324,0.9999976821591152
9,0.0020687547437607343,0.003826423921317826,26.915882707980927,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999909725427765,0.9999976821591151
10,0.0018162313565679928,0.003834368026448568,27.548377125000115,0.9995657837603127,0.9993327515552712,0.9989384288747346,0.9989384288747346,0.9989384288747346,0.9986655031105425,941.0,1.0,3663.0,1.0,0.0002729257641921397,0.0010615711252653928,0.9999909725427765,0.9999976821591152
