epoch,train_loss,val_loss,epoch_seconds,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc
1,0.29150001563919203,0.014817322097246382,184.79814737499692,0.9980460269214069,0.996011575297379,0.9978655282817502,0.9925690021231423,0.9952102182011708,0.9939884542972609,935.0,2.0,3662.0,7.0,0.0005458515283842794,0.0074309978768577496,0.995808864693404,0.9968596153311267
2,0.01542902870347755,0.012492582510915777,176.42552608298138,0.9982631350412505,0.9961480381794751,0.9989316239316239,0.9925690021231423,0.9957401490947817,0.9946573621917656,935.0,1.0,3663.0,7.0,0.0002729257641921397,0.0074309978768577496,0.9995000414247242,0.9997992170333492
3,0.015436791656028183,0.009318758013241293,177.6752187499951,0.998697351280938,0.998786900026887,0.9947145877378436,0.9989384288747346,0.996822033898305,0.9960063504370883,941.0,5.0,3659.0,1.0,0.0013646288209606986,0.0010615711252653928,0.9998358874957454,0.9999519048016391
4,0.01147341868629321,0.007848882828214332,177.69022237500758,0.9989144594007816,0.9989233629089831,0.9957671957671957,0.9989384288747346,0.9973502914679385,0.9966696918869778,941.0,4.0,3660.0,1.0,0.001091703056768559,0.0010615711252653928,0.9999787816805409,0.9999944951278984
5,0.004638662247368618,0.007076518349815564,177.1683312090172,0.9991315675206253,0.9990598257910791,0.996822033898305,0.9989384288747346,0.9978791092258749,0.9973339961203086,941.0,3.0,3661.0,1.0,0.0008187772925764192,0.0010615711252653928,0.9999831327469484,0.9999956540483409
6,0.006219381565182853,0.006906288735637473,177.54774124998949,0.9991315675206253,0.9994541484716157,0.9957716701902748,1.0,0.9978813559322034,0.9973387504825452,942.0,4.0,3660.0,0.0,0.001091703056768559,0.0,0.999988743714124,0.999997102698894
7,0.005703210319594456,0.008395056961171201,177.90381524999975,0.9989144594007816,0.9993176855895196,0.9947201689545935,1.0,0.9973530968766543,0.9966758475769577,942.0,5.0,3659.0,0.0,0.0013646288209606986,0.0,0.9999898623198937,0.9999973924290045
8,0.0042744119901384,0.006110468395103878,177.7751306249993,0.9991315675206253,0.9990598257910791,0.996822033898305,0.9989384288747346,0.9978791092258749,0.9973339961203086,941.0,3.0,3661.0,1.0,0.0008187772925764192,0.0010615711252653928,0.9999966299329357,0.9999991308096682
9,0.0019742213241868713,0.005701221413474653,202.01921316600055,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,0.9999898623198937,0.9999973924290045
10,0.002552729562043583,0.006259939665130703,202.8211622920062,0.9991315675206253,0.9994541484716157,0.9957716701902748,1.0,0.9978813559322034,0.9973387504825452,942.0,4.0,3660.0,0.0,0.001091703056768559,0.0,0.9999898623198937,0.9999973924290045
