feature,importance,rank
network_ip-flags_min,0.12951323,1
network_packets_all_count,0.079519585,2
network_tcp-flags_std_deviation,0.07502829,3
network_window-size_max,0.06223334,4
network_macs_dst_count,0.047399953,5
network_mss_max,0.03949731,6
network_packet-size_min,0.039118797,7
network_ttl_min,0.037373137,8
network_packets_dst_count,0.033006214,9
network_macs_src_count,0.03298878,10
network_window-size_std_deviation,0.021308357,11
network_mss_avg,0.017356018,12
network_ttl_max,0.017282503,13
network_ip-length_avg,0.017071385,14
network_tcp-flags-psh_count,0.017061263,15
network_ip-flags_avg,0.016562331,16
network_ips_dst_count,0.015283829,17
network_payload-length_avg,0.014540102,18
network_ip-length_min,0.014120575,19
network_window-size_avg,0.013573188,20
network_ports_all_count,0.012752874,21
network_macs_all_count,0.012059763,22
network_ports_src_count,0.011564465,23
network_time-delta_avg,0.010191097,24
network_ttl_std_deviation,0.009894956,25
network_tcp-flags-ack_count,0.008911552,26
network_ip-length_max,0.007995872,27
network_tcp-flags-syn_count,0.00748639,28
network_tcp-flags-rst_count,0.007447653,29
network_time-delta_min,0.0073694563,30
network_ips_all_count,0.0073069492,31
network_protocols_src_count,0.006943737,32
network_ttl_avg,0.0068973675,33
network_window-size_min,0.0068203122,34
network_payload-length_std_deviation,0.0066571524,35
network_tcp-flags-fin_count,0.0063308496,36
network_tcp-flags_avg,0.0062405807,37
network_ports_dst_count,0.0061504585,38
network_mss_min,0.006121878,39
network_payload-length_max,0.005677538,40
network_ip-flags_std_deviation,0.005624325,41
network_header-length_std_deviation,0.005401302,42
network_header-length_max,0.0051376317,43
network_ips_src_count,0.005099245,44
network_header-length_avg,0.0050340733,45
network_fragmented-packets,0.004974232,46
network_packet-size_max,0.0047173332,47
network_fragmentation-score,0.004609026,48
network_packet-size_avg,0.004276508,49
network_protocols_all_count,0.004126615,50
network_protocols_dst_count,0.0040927883,51
network_header-length_min,0.0035164864,52
log_data-types_count,0.0034405796,53
network_tcp-flags_max,0.0034336525,54
network_interval-packets,0.003284344,55
network_mss_std_deviation,0.0030983903,56
network_packets_src_count,0.0029988186,57
network_ip-length_std_deviation,0.0028044872,58
network_time-delta_std_deviation,0.0025077418,59
log_messages_count,0.002473467,60
network_packet-size_std_deviation,0.002439964,61
network_time-delta_max,0.0022998818,62
log_interval-messages,0.0022806646,63
log_data-ranges_min,0.0022766336,64
log_data-ranges_max,0.0021781365,65
log_data-ranges_std_deviation,0.0019734905,66
log_data-ranges_avg,0.0017499558,67
network_tcp-flags_min,0.001310027,68
network_ip-flags_max,0.0012626753,69
network_payload-length_min,0.00091845065,70
