variant,model,n_features,n_seeds,mcc,recall,fn
full_13,bert-mini,13,1,0.9034915500309735,0.847237269772481,141.0
full_13,bert-tiny,13,1,0.8741524993989964,0.8017334777898159,183.0
no_fingerprint,bert-tiny,12,1,0.8543957794055189,0.771397616468039,211.0
full_13,electra-small,13,1,0.9152765162767394,0.8656554712892741,124.0
no_fingerprint,electra-small,12,1,0.9387082446799934,0.9024918743228603,90.0
no_fingerprint_reduced,electra-small,8,1,0.8993202944908955,0.8407367280606717,147.0
reduced_9,electra-small,9,1,0.9027967804823966,0.8461538461538461,142.0
full_13,minilm-l6,13,1,0.8839695817764007,0.8169014084507042,169.0
full_13,tinybert-4l,13,3,0.9172554182421683,0.8689057421451788,121.0
no_fingerprint,tinybert-4l,12,1,0.8951426159681052,0.8342361863488624,153.0
