model,seed,full_13_rawnames,full_13_readable192,delta
bert-mini,42,0.9414536780062017,0.9366476826593744,0.004805995346827352
bert-mini,43,0.9297697163388557,0.9014067157947814,0.028363000544074368
bert-mini,44,0.931146487514617,0.8986244648243573,0.03252202269025972
bert-tiny,42,0.8986244648243573,0.8811686738052442,0.0174557910191131
bert-tiny,43,0.8832068421267906,0.9201152753563319,-0.03690843322954129
bert-tiny,44,0.8930513209934945,0.8831463775593593,0.009904943434135172
electra-small,42,0.9021018359651629,0.8944457011909956,0.007656134774167267
electra-small,43,0.9111226609979252,0.8930513209934945,0.01807134000443067
electra-small,44,0.8965358984099838,0.9476228021522426,-0.05108690374225877
minilm-l6,42,0.8930513209934945,0.8930513209934945,0.0
minilm-l6,43,0.8824454682222101,0.9387082446799934,-0.056262776457783215
minilm-l6,44,0.8824454682222101,0.8930513209934945,-0.010605852771284341
tinybert-4l,42,0.999323832691371,0.9496767402548472,0.049647092436523876
tinybert-4l,43,0.8839695817764007,0.8972322674810762,-0.013262685704675481
tinybert-4l,44,0.8944457011909956,0.8993202944908955,-0.00487459329989981
