model,variant,seed,n_params,best_epoch,epochs_run,threshold,val_mcc,test_mcc,test_f1,test_precision,test_recall,test_pr_auc,test_tp,test_fp,test_tn,test_fn,train_seconds
bert-mini,full_13,42,11171074,4,6,0.05,0.9986653404923068,0.9034915500309735,0.9173020527859238,1.0,0.847237269772481,0.9909648128981086,782.0,0.0,3720.0,141.0,410.84706575001474
bert-tiny,full_13,42,4386178,3,5,0.05,0.9953272499301964,0.8741524993989964,0.8899579073962718,1.0,0.8017334777898159,0.9934524775556818,740.0,0.0,3720.0,183.0,110.4874565419741
electra-small,full_13,42,13549314,4,6,0.05,0.9993332368492569,0.9152765162767394,0.9279907084785134,1.0,0.8656554712892741,0.9999788394705599,799.0,0.0,3720.0,124.0,1180.2593241250142
minilm-l6,full_13,42,22713986,3,5,0.05,0.9946593809387134,0.8839695817764007,0.8992248062015504,1.0,0.8169014084507042,0.9444729071761145,754.0,0.0,3720.0,169.0,917.8188947080052
tinybert-4l,full_13,42,14350874,5,7,0.05,0.9966758475769577,0.9503611205525085,0.9588268471517203,1.0,0.9209100758396533,0.9999520656868154,850.0,0.0,3720.0,73.0,783.7544846250094
tinybert-4l,full_13,43,14350874,4,6,0.05,0.9980026146387657,0.9076565310717991,0.9210987726475746,1.0,0.8537378114842904,0.9960226776648387,788.0,0.0,3720.0,135.0,687.4551705839986
tinybert-4l,full_13,44,14350874,4,6,0.05,0.9973339961203086,0.8937486031021972,0.9083382613837966,1.0,0.8320693391115926,0.9998347991377249,768.0,0.0,3720.0,155.0,679.9063791250228
bert-mini,full_13_rawnames,42,11171074,6,10,0.05,0.9993327109775545,0.9414536780062017,0.9511363636363637,1.0,0.9068255687973997,0.9983406164695837,837.0,0.0,3720.0,86.0,1126.2773144579842
bert-mini,full_13_rawnames,43,11171074,3,7,0.05,1.0,0.9297697163388557,0.9409064830751578,1.0,0.8884073672806068,0.9994836965428336,820.0,0.0,3720.0,103.0,788.1560039169854
bert-mini,full_13_rawnames,44,11171074,9,10,0.05,0.9993327109775545,0.931146487514617,0.9421203438395416,1.0,0.8905742145178764,0.9999929456711453,822.0,0.0,3720.0,101.0,1123.0863954580273
bert-tiny,full_13_rawnames,42,4386178,6,10,0.09999999999999999,0.9993327109775545,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,0.9972582307627462,775.0,0.0,3720.0,148.0,292.45953854202526
bert-tiny,full_13_rawnames,43,4386178,2,6,0.05,0.9946593809387134,0.8832068421267906,0.8986889153754469,0.9986754966887417,0.8169014084507042,0.8849363486987893,754.0,1.0,3719.0,169.0,169.70064316602657
bert-tiny,full_13_rawnames,44,4386178,9,10,0.07,0.9993327109775545,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9997386666484962,767.0,0.0,3720.0,156.0,285.04104570799973
electra-small,full_13_rawnames,42,13549314,7,10,0.05,1.0,0.9021018359651629,0.916030534351145,1.0,0.8450704225352113,0.997985231371222,780.0,0.0,3720.0,143.0,3154.7718317919644
electra-small,full_13_rawnames,43,13549314,4,8,0.43999999999999995,1.0,0.9111226609979252,0.9242424242424242,1.0,0.8591549295774648,0.9446395048678636,793.0,0.0,3720.0,130.0,2487.4637088750023
electra-small,full_13_rawnames,44,13549314,6,10,0.05,1.0,0.8965358984099838,0.9109144542772861,1.0,0.8364030335861322,0.9999976549272325,772.0,0.0,3720.0,151.0,3117.8965726250317
minilm-l6,full_13_rawnames,42,22713986,8,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9349671745574617,767.0,0.0,3720.0,156.0,3368.856017415994
minilm-l6,full_13_rawnames,43,22713986,1,5,0.12,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,0.9171502856864948,754.0,2.0,3718.0,169.0,1662.5007609589957
minilm-l6,full_13_rawnames,44,22713986,1,5,0.05,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,0.9160897399819116,754.0,2.0,3718.0,169.0,1665.1815246249898
tinybert-4l,full_13_rawnames,42,14350874,6,10,0.05,0.9993327109775545,0.999323832691371,0.9994579945799458,1.0,0.9989165763813651,0.9999988274636162,922.0,0.0,3720.0,1.0,1863.322008749994
tinybert-4l,full_13_rawnames,43,14350874,1,5,0.05,0.9946593809387134,0.8839695817764007,0.8992248062015504,1.0,0.8169014084507042,0.8813028427509441,754.0,0.0,3720.0,169.0,927.6237782079843
tinybert-4l,full_13_rawnames,44,14350874,1,5,0.05,0.9946593809387134,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,0.9899166842032874,769.0,0.0,3720.0,154.0,923.6944025830016
bert-mini,full_13_readable192,42,11171074,3,7,0.24,0.9986653404923068,0.9366476826593744,0.9469480889903024,1.0,0.8992416034669556,0.9995138477537366,830.0,0.0,3720.0,93.0,803.0731571250362
bert-mini,full_13_readable192,43,11171074,4,8,0.05,0.9986653404923068,0.9014067157947814,0.9153936545240893,1.0,0.8439869989165764,1.0,779.0,0.0,3720.0,144.0,943.6270642500021
bert-mini,full_13_readable192,44,11171074,2,6,0.05,0.9986653404923068,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,0.9411846115353492,775.0,0.0,3720.0,148.0,681.9258249590057
bert-tiny,full_13_readable192,42,4386178,5,9,0.05,0.9946573621917656,0.8811686738052442,0.8965929468021518,1.0,0.8125677139761647,0.9919154687919023,750.0,0.0,3720.0,173.0,263.390431332984
bert-tiny,full_13_readable192,43,4386178,7,10,0.05,0.9986655031105425,0.9201152753563319,0.9323308270676691,1.0,0.8732394366197183,0.9999469213452132,806.0,0.0,3720.0,117.0,285.720279000001
bert-tiny,full_13_readable192,44,4386178,5,9,0.05,0.9953272499301964,0.8831463775593593,0.8988095238095238,0.9973579920739762,0.8179848320693391,0.963050080409081,755.0,2.0,3718.0,168.0,249.36855237500276
electra-small,full_13_readable192,42,13549314,4,8,0.08,1.0,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,0.9998417889245187,769.0,0.0,3720.0,154.0,2521.469026084
electra-small,full_13_readable192,43,13549314,4,8,0.05,0.9993332368492569,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.999905926000246,767.0,0.0,3720.0,156.0,2491.9777829580125
electra-small,full_13_readable192,44,13549314,5,9,0.05,1.0,0.9476228021522426,0.9564725833804409,1.0,0.9165763813651138,0.9998207589317812,846.0,0.0,3720.0,77.0,2838.77482362499
minilm-l6,full_13_readable192,42,22713986,7,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9954710837698877,767.0,0.0,3720.0,156.0,3424.927412665973
minilm-l6,full_13_readable192,43,22713986,5,9,0.05,0.9986653404923068,0.9387082446799934,0.94874715261959,1.0,0.9024918743228603,0.9665729913166069,833.0,0.0,3720.0,90.0,3048.8014705000096
minilm-l6,full_13_readable192,44,22713986,4,8,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9941034547493982,767.0,0.0,3720.0,156.0,2733.806209625036
tinybert-4l,full_13_readable192,42,14350874,7,10,0.05,0.9973387504825452,0.9496767402548472,0.9582392776523702,1.0,0.9198266522210184,0.9999576387989914,849.0,0.0,3720.0,74.0,1907.188973124983
tinybert-4l,full_13_readable192,43,14350874,9,10,0.08,0.9980026146387657,0.8972322674810762,0.9115566037735849,1.0,0.8374864572047671,0.9961407066786957,773.0,0.0,3720.0,150.0,1914.5286129160086
tinybert-4l,full_13_readable192,44,14350874,7,10,0.6399999999999999,0.9986655031105425,0.8993202944908955,0.9134785167745733,1.0,0.8407367280606717,0.9941883147008894,776.0,0.0,3720.0,147.0,2115.2310155830055
bert-tiny,no_fingerprint,42,4386178,7,9,0.16999999999999998,0.9933206417538779,0.8543957794055189,0.8709480122324159,1.0,0.771397616468039,0.9768986141675666,712.0,0.0,3720.0,211.0,214.73564383402118
electra-small,no_fingerprint,42,13549314,2,4,0.07,0.9986674425798219,0.9387082446799934,0.94874715261959,1.0,0.9024918743228603,0.9986763210059713,833.0,0.0,3720.0,90.0,769.3620526670129
tinybert-4l,no_fingerprint,42,14350874,6,8,0.05,0.9966758475769577,0.8951426159681052,0.9096278795038394,1.0,0.8342361863488624,0.9206071374747616,770.0,0.0,3720.0,153.0,896.9825915840047
electra-small,no_fingerprint_reduced,42,13549314,3,5,0.05,0.9993332368492569,0.8993202944908955,0.9134785167745733,1.0,0.8407367280606717,0.9992784360137776,776.0,0.0,3720.0,147.0,962.9533545000013
electra-small,reduced_9,42,13549314,4,6,0.05,0.9993332368492569,0.9027967804823966,0.9166666666666666,1.0,0.8461538461538461,0.9933663714866331,781.0,0.0,3720.0,142.0,1210.2327483329864
