model,variant,seed,n_features,n_params,best_epoch,epochs_run,train_seconds,threshold,run_dir,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_mcc,val_tp,val_fp,val_tn,val_fn,val_false_positive_rate,val_false_negative_rate,val_pr_auc,val_roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_mcc,test_tp,test_fp,test_tn,test_fn,test_false_positive_rate,test_false_negative_rate,test_pr_auc,test_roc_auc,test05_accuracy,test05_balanced_accuracy,test05_precision,test05_recall,test05_f1,test05_mcc,test05_tp,test05_fp,test05_tn,test05_fn,test05_false_positive_rate,test05_false_negative_rate,test05_pr_auc,test05_roc_auc,recall_ddos_wisenet-camera_80,recall_dos_wisenet-camera_554,recall_dos_wisenet-camera_80,disk_mb,model_rss_mb,cold_start_s,latency_p50_ms,latency_p95_ms,latency_threads,flows_per_sec
bert-mini,full_13,42,13,11171074,4,6,410.84706575001474,0.05,experiments/stage1_full_13/bert-mini_s42,0.9995657837603127,0.9989384288747346,1.0,0.9978768577494692,0.9989373007438895,0.9986653404923068,940.0,0.0,3664.0,2.0,0.0,0.0021231422505307855,0.9994662194720099,0.9997409812811171,0.969631703639888,0.9236186348862405,1.0,0.847237269772481,0.9173020527859238,0.9034915500309735,782.0,0.0,3720.0,141.0,0.0,0.15276273022751896,0.9909648128981086,0.996484406854693,0.9666164118027137,0.9160346695557964,1.0,0.8320693391115926,0.9083382613837966,0.8937486031021972,768.0,0.0,3720.0,155.0,0.0,0.16793066088840736,0.9909648128981086,0.996484406854693,0.7484848484848485,0.9966666666666668,0.8054607508532423,,,,,,,
bert-tiny,full_13,42,13,4386178,3,5,110.4874565419741,0.05,experiments/stage1_full_13/bert-tiny_s42,0.9984802431610942,0.9962845010615711,1.0,0.9925690021231423,0.9962706446457112,0.9953272499301964,935.0,0.0,3664.0,7.0,0.0,0.0074309978768577496,0.9999450962853094,0.9999858032245803,0.9605858281283652,0.9008667388949079,1.0,0.8017334777898159,0.8899579073962718,0.8741524993989964,740.0,0.0,3720.0,183.0,0.0,0.19826652221018418,0.9934524775556818,0.9984133086359347,0.9599396941632565,0.8992416034669556,1.0,0.7984832069339112,0.8879518072289156,0.8720436898916908,737.0,0.0,3720.0,186.0,0.0,0.20151679306608883,0.9934524775556818,0.9984133086359347,0.703030303030303,0.9366666666666666,0.7747440273037542,,,,,,,
electra-small,full_13,42,13,13549314,4,6,1180.2593241250142,0.05,experiments/stage1_full_13/electra-small_s42,0.9997828918801563,0.9998635371179039,0.9989395546129375,1.0,0.9994694960212201,0.9993332368492569,942.0,1.0,3663.0,0.0,0.0002729257641921397,0.0,1.0,1.0,0.9732931294421711,0.9328277356446371,1.0,0.8656554712892741,0.9279907084785134,0.9152765162767394,799.0,0.0,3720.0,124.0,0.0,0.13434452871072589,0.9999788394705599,0.9999947576276518,0.9711393495584751,0.9274106175514627,1.0,0.8548212351029253,0.9217289719626168,0.9083500948456739,789.0,0.0,3720.0,134.0,0.0,0.14517876489707476,0.9999788394705599,0.9999947576276518,0.796969696969697,1.0,0.8054607508532423,,,,,,,
minilm-l6,full_13,42,13,22713986,3,5,917.8188947080052,0.05,experiments/stage1_full_13/minilm-l6_s42,0.9982631350412505,0.9957537154989384,1.0,0.9915074309978769,0.9957356076759062,0.9946593809387134,934.0,0.0,3664.0,8.0,0.0,0.008492569002123142,0.9974003335813505,0.998368095152004,0.9636011199655395,0.9084507042253521,1.0,0.8169014084507042,0.8992248062015504,0.8839695817764007,754.0,0.0,3720.0,169.0,0.0,0.18309859154929578,0.9444729071761145,0.9782553676067987,0.9636011199655395,0.9084507042253521,1.0,0.8169014084507042,0.8992248062015504,0.8839695817764007,754.0,0.0,3720.0,169.0,0.0,0.18309859154929578,0.9444729071761145,0.9782553676067987,0.6848484848484848,0.9966666666666668,0.7815699658703071,,,,,,,
tinybert-4l,full_13,42,13,14350874,5,7,783.7544846250094,0.05,experiments/stage1_full_13/tinybert-4l_s42,0.9989144594007816,0.9993176855895196,0.9947201689545935,1.0,0.9973530968766543,0.9966758475769577,942.0,5.0,3659.0,0.0,0.0013646288209606986,0.0,0.9999876561119282,0.9999968129687833,0.98427740684902,0.9604550379198267,1.0,0.9209100758396533,0.9588268471517203,0.9503611205525085,850.0,0.0,3720.0,73.0,0.0,0.0790899241603467,0.9999520656868154,0.9999880590407624,0.98427740684902,0.9604550379198267,1.0,0.9209100758396533,0.9588268471517203,0.9503611205525085,850.0,0.0,3720.0,73.0,0.0,0.0790899241603467,0.9999520656868154,0.9999880590407624,0.8606060606060606,1.0,0.9078498293515358,,,,,,,
tinybert-4l,full_13,43,13,14350874,4,6,687.4551705839986,0.05,experiments/stage1_full_13/tinybert-4l_s43,0.9993486756404689,0.9995906113537119,0.9968253968253968,1.0,0.9984101748807631,0.9980026146387657,942.0,3.0,3661.0,0.0,0.0008187772925764192,0.0,0.9999887378023045,0.9999972475639493,0.9709239715701056,0.9268689057421452,1.0,0.8537378114842904,0.9210987726475746,0.9076565310717991,788.0,0.0,3720.0,135.0,0.0,0.14626218851570963,0.9960226776648387,0.9988964806206969,0.9709239715701056,0.9268689057421452,1.0,0.8537378114842904,0.9210987726475746,0.9076565310717991,788.0,0.0,3720.0,135.0,0.0,0.14626218851570963,0.9960226776648387,0.9988964806206969,0.7636363636363637,1.0,0.8054607508532423,,,,,,,
tinybert-4l,full_13,44,13,14350874,4,6,679.9063791250228,0.05,experiments/stage1_full_13/tinybert-4l_s44,0.9991315675206253,0.9990598257910791,0.996822033898305,0.9989384288747346,0.9978791092258749,0.9973339961203086,941.0,3.0,3661.0,1.0,0.0008187772925764192,0.0010615711252653928,0.9999932598507603,0.9999982616193364,0.9666164118027137,0.9160346695557964,1.0,0.8320693391115926,0.9083382613837966,0.8937486031021972,768.0,0.0,3720.0,155.0,0.0,0.16793066088840736,0.9998347991377249,0.9999609734502964,0.9666164118027137,0.9160346695557964,1.0,0.8320693391115926,0.9083382613837966,0.8937486031021972,768.0,0.0,3720.0,155.0,0.0,0.16793066088840736,0.9998347991377249,0.9999609734502964,0.7242424242424242,1.0,0.7815699658703071,,,,,,,
bert-mini,full_13_rawnames,42,13,11171074,6,10,1126.2773144579842,0.05,experiments/stage1_full_13_rawnames/bert-mini_s42,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999899535855653,0.9999973924290045,0.9814774930002154,0.9534127843986999,1.0,0.9068255687973997,0.9511363636363637,0.9414536780062017,837.0,0.0,3720.0,86.0,0.0,0.09317443120260022,0.9983406164695837,0.9995846876128565,0.9808313590351067,0.9517876489707475,1.0,0.9035752979414952,0.9493454752418896,0.9393948142552813,834.0,0.0,3720.0,89.0,0.0,0.09642470205850487,0.9983406164695837,0.9995846876128565,0.8363636363636363,0.9966666666666668,0.89419795221843,45.637769,34.58662399999997,0.06811041705077514,3.5356454900465906,3.7730273703346024,1.0,280.9035028637568
bert-mini,full_13_rawnames,43,13,11171074,3,7,788.1560039169854,0.05,experiments/stage1_full_13_rawnames/bert-mini_s43,1.0,1.0,1.0,1.0,1.0,1.0,942.0,0.0,3664.0,0.0,0.0,0.0,1.0,1.0,0.9778160671979323,0.9442036836403034,1.0,0.8884073672806068,0.9409064830751578,0.9297697163388557,820.0,0.0,3720.0,103.0,0.0,0.11159263271939328,0.9994836965428336,0.9998607858898636,0.9694163256515184,0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666,0.9027967804823966,781.0,0.0,3720.0,142.0,0.0,0.15384615384615385,0.9994836965428336,0.9998607858898636,0.806060606060606,0.9966666666666668,0.8703071672354948,,,,,,,
bert-mini,full_13_rawnames,44,13,11171074,9,10,1123.0863954580273,0.05,experiments/stage1_full_13_rawnames/bert-mini_s44,0.9997828918801563,0.9994692144373674,1.0,0.9989384288747346,0.9994689325544344,0.9993327109775545,941.0,0.0,3664.0,1.0,0.0,0.0010615711252653928,0.9999955113271659,0.9999988410795575,0.9782468231746716,0.9452871072589382,1.0,0.8905742145178764,0.9421203438395416,0.931146487514617,822.0,0.0,3720.0,101.0,0.0,0.1094257854821235,0.9999929456711453,0.9999982525425506,0.9748007753607582,0.9366197183098591,1.0,0.8732394366197183,0.9323308270676691,0.9201152753563319,806.0,0.0,3720.0,117.0,0.0,0.1267605633802817,0.9999929456711453,0.9999982525425506,0.8121212121212121,1.0,0.8668941979522184,,,,,,,
