model,seed,n_params,best_epoch,epochs_run,threshold,val_mcc,test_mcc,test_f1,test_precision,test_recall,test_pr_auc,test_tp,test_fp,test_tn,test_fn,train_seconds
bert-mini,42,11171074,6,10,0.05,0.9993327109775545,0.9414536780062017,0.9511363636363637,1.0,0.9068255687973997,0.9983406164695837,837.0,0.0,3720.0,86.0,1126.2773144579842
bert-mini,43,11171074,3,7,0.05,1.0,0.9297697163388557,0.9409064830751578,1.0,0.8884073672806068,0.9994836965428336,820.0,0.0,3720.0,103.0,788.1560039169854
bert-mini,44,11171074,9,10,0.05,0.9993327109775545,0.931146487514617,0.9421203438395416,1.0,0.8905742145178764,0.9999929456711453,822.0,0.0,3720.0,101.0,1123.0863954580273
bert-tiny,42,4386178,6,10,0.09999999999999999,0.9993327109775545,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,0.9972582307627462,775.0,0.0,3720.0,148.0,292.45953854202526
bert-tiny,43,4386178,2,6,0.05,0.9946593809387134,0.8832068421267906,0.8986889153754469,0.9986754966887417,0.8169014084507042,0.8849363486987893,754.0,1.0,3719.0,169.0,169.70064316602657
bert-tiny,44,4386178,9,10,0.07,0.9993327109775545,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9997386666484962,767.0,0.0,3720.0,156.0,285.04104570799973
electra-small,42,13549314,7,10,0.05,1.0,0.9021018359651629,0.916030534351145,1.0,0.8450704225352113,0.997985231371222,780.0,0.0,3720.0,143.0,3154.7718317919644
electra-small,43,13549314,4,8,0.43999999999999995,1.0,0.9111226609979252,0.9242424242424242,1.0,0.8591549295774648,0.9446395048678636,793.0,0.0,3720.0,130.0,2487.4637088750023
electra-small,44,13549314,6,10,0.05,1.0,0.8965358984099838,0.9109144542772861,1.0,0.8364030335861322,0.9999976549272325,772.0,0.0,3720.0,151.0,3117.8965726250317
minilm-l6,42,22713986,8,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9349671745574617,767.0,0.0,3720.0,156.0,3368.856017415994
minilm-l6,43,22713986,1,5,0.12,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,0.9171502856864948,754.0,2.0,3718.0,169.0,1662.5007609589957
minilm-l6,44,22713986,1,5,0.05,0.9946593809387134,0.8824454682222101,0.8981536628945801,0.9973544973544973,0.8169014084507042,0.9160897399819116,754.0,2.0,3718.0,169.0,1665.1815246249898
tinybert-4l,42,14350874,6,10,0.05,0.9993327109775545,0.999323832691371,0.9994579945799458,1.0,0.9989165763813651,0.9999988274636162,922.0,0.0,3720.0,1.0,1863.322008749994
tinybert-4l,43,14350874,1,5,0.05,0.9946593809387134,0.8839695817764007,0.8992248062015504,1.0,0.8169014084507042,0.8813028427509441,754.0,0.0,3720.0,169.0,927.6237782079843
tinybert-4l,44,14350874,1,5,0.05,0.9946593809387134,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,0.9899166842032874,769.0,0.0,3720.0,154.0,923.6944025830016
