model,seed,n_params,best_epoch,epochs_run,threshold,val_mcc,test_mcc,test_f1,test_precision,test_recall,test_pr_auc,test_tp,test_fp,test_tn,test_fn,train_seconds
bert-mini,42,11171074,3,7,0.24,0.9986653404923068,0.9366476826593744,0.9469480889903024,1.0,0.8992416034669556,0.9995138477537366,830.0,0.0,3720.0,93.0,803.0731571250362
bert-mini,43,11171074,4,8,0.05,0.9986653404923068,0.9014067157947814,0.9153936545240893,1.0,0.8439869989165764,1.0,779.0,0.0,3720.0,144.0,943.6270642500021
bert-mini,44,11171074,2,6,0.05,0.9986653404923068,0.8986244648243573,0.9128386336866903,1.0,0.8396533044420368,0.9411846115353492,775.0,0.0,3720.0,148.0,681.9258249590057
bert-tiny,42,4386178,5,9,0.05,0.9946573621917656,0.8811686738052442,0.8965929468021518,1.0,0.8125677139761647,0.9919154687919023,750.0,0.0,3720.0,173.0,263.390431332984
bert-tiny,43,4386178,7,10,0.05,0.9986655031105425,0.9201152753563319,0.9323308270676691,1.0,0.8732394366197183,0.9999469213452132,806.0,0.0,3720.0,117.0,285.720279000001
bert-tiny,44,4386178,5,9,0.05,0.9953272499301964,0.8831463775593593,0.8988095238095238,0.9973579920739762,0.8179848320693391,0.963050080409081,755.0,2.0,3718.0,168.0,249.36855237500276
electra-small,42,13549314,4,8,0.08,1.0,0.8944457011909956,0.9089834515366431,1.0,0.8331527627302275,0.9998417889245187,769.0,0.0,3720.0,154.0,2521.469026084
electra-small,43,13549314,4,8,0.05,0.9993332368492569,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.999905926000246,767.0,0.0,3720.0,156.0,2491.9777829580125
electra-small,44,13549314,5,9,0.05,1.0,0.9476228021522426,0.9564725833804409,1.0,0.9165763813651138,0.9998207589317812,846.0,0.0,3720.0,77.0,2838.77482362499
minilm-l6,42,22713986,7,10,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9954710837698877,767.0,0.0,3720.0,156.0,3424.927412665973
minilm-l6,43,22713986,5,9,0.05,0.9986653404923068,0.9387082446799934,0.94874715261959,1.0,0.9024918743228603,0.9665729913166069,833.0,0.0,3720.0,90.0,3048.8014705000096
minilm-l6,44,22713986,4,8,0.05,0.9986653404923068,0.8930513209934945,0.9076923076923077,1.0,0.8309859154929577,0.9941034547493982,767.0,0.0,3720.0,156.0,2733.806209625036
tinybert-4l,42,14350874,7,10,0.05,0.9973387504825452,0.9496767402548472,0.9582392776523702,1.0,0.9198266522210184,0.9999576387989914,849.0,0.0,3720.0,74.0,1907.188973124983
tinybert-4l,43,14350874,9,10,0.08,0.9980026146387657,0.8972322674810762,0.9115566037735849,1.0,0.8374864572047671,0.9961407066786957,773.0,0.0,3720.0,150.0,1914.5286129160086
tinybert-4l,44,14350874,7,10,0.6399999999999999,0.9986655031105425,0.8993202944908955,0.9134785167745733,1.0,0.8407367280606717,0.9941883147008894,776.0,0.0,3720.0,147.0,2115.2310155830055
