feature,mean_attr,median_attr,std_attr,mean_abs_attr,mean_share,pct_positive,pct_rank1,pct_top3,mean_rank
client max packet size,12.019001780665063,13.583922386169434,4.223218142452307,12.019001780665063,0.7665429943979672,100.0,98.80823401950163,99.89165763813651,1.017334777898158
server stddev packet size,-0.4983924373152907,-0.6826620697975159,0.5763567682075349,0.691309566047539,0.04492746174448786,18.30985915492958,0.0,3.5752979414951245,11.880823401950163
server min inter-arrival,0.06691442279877668,-0.261221319437027,0.7717114824451803,0.4763147472560341,0.04625946292381529,20.910075839653306,1.191765980498375,19.609967497291443,9.565547128927411
server bytes,0.024627725374789047,0.3092370927333832,0.40633126603083314,0.3342767944831889,0.02391247902191942,54.38786565547129,0.0,51.57096424702059,6.75406283856988
server mean packet size,0.18972874962082,0.0885094553232193,0.31182739402515736,0.24122330626343677,0.02221516730447242,68.36403033586133,0.0,36.944745395449615,5.031419284940411
client min inter-arrival,0.009487712836520643,-0.1028810441493988,0.2776093007730937,0.18000754359847224,0.016898561333685364,19.609967497291443,0.0,0.5417118093174431,9.110509209100758
total rst packets,0.1779769381026678,0.18549486994743347,0.09829237653916151,0.17857228729377964,0.012391299618632654,94.79956663055255,0.0,52.65438786565547,4.360780065005417
server stddev inter-arrival,0.1509990655188474,0.08697549998760223,0.15992264831152841,0.15317886749954485,0.014510182976276872,96.64138678223185,0.0,30.119176598049833,5.550379198266522
client max inter-arrival,-0.049379642316234075,-0.06446943432092667,0.20057448011239362,0.14564523415464428,0.012899167594613804,20.47670639219935,0.0,0.0,9.630552546045504
total min packet size,0.020091973576101426,0.0678858757019043,0.3065920005823347,0.13675451895397636,0.01411666778990941,81.9068255687974,0.0,3.358613217768147,7.268689057421452
server psh packets,0.11908057605974348,0.09297512471675873,0.13632965311722345,0.11911104094297126,0.008426899562482673,98.80823401950163,0.0,0.0,5.37486457204767
total min inter-arrival,0.08237876173185502,0.005023145116865635,0.21212807921374516,0.09414526483171165,0.011820560948736132,69.23076923076923,0.0,1.7334777898158178,7.641386782231852
server rst packets,0.06523342904224104,0.0496709868311882,0.10530038075654624,0.07113177727459892,0.005079094783000752,92.19934994582883,0.0,0.0,7.8136511375948
