outcome,n,feature,mean_attr,mean_share,pct_positive
detected,830,client max packet size,13.258044828851538,0.8188890076953926,100.0
detected,830,server mean packet size,0.18974794919591353,0.015549279510279424,65.66265060240963
detected,830,server bytes,0.02255840565425804,0.021759193198563134,57.59036144578313
detected,830,server stddev packet size,-0.5391867104064987,0.04579555010207616,12.048192771084338
detected,830,client max inter-arrival,-0.06445052778370768,0.009642652871238807,11.566265060240964
detected,830,server stddev inter-arrival,0.14972669563469398,0.009198125828475213,96.26506024096385
detected,830,server psh packets,0.12896370392247855,0.007901663627047254,98.79518072289156
detected,830,client min inter-arrival,-0.003707114046058023,0.011299232709122779,12.048192771084338
detected,830,total min packet size,0.03814037414604282,0.008645984327532765,89.51807228915662
detected,830,server min inter-arrival,0.02676725556333381,0.02947038993773464,12.048192771084338
detected,830,total min inter-arrival,0.0752673637660512,0.005316982436715158,65.78313253012048
detected,830,server rst packets,0.0733522741303566,0.00467919079816114,96.02409638554217
detected,830,total rst packets,0.1932442115462688,0.011852746957660917,96.26506024096385
missed,93,client max packet size,0.9608756516889859,0.29936889722739785,100.0
missed,93,server mean packet size,0.18955739857428658,0.0817064239623239,92.47311827956989
missed,93,server bytes,0.04309584761178622,0.04312997615509919,25.806451612903224
missed,93,server stddev packet size,-0.1343145161787028,0.03718000651009761,74.19354838709677
missed,93,client max inter-arrival,0.08512395916767018,0.04196268609355196,100.0
missed,93,server stddev inter-arrival,0.1623546247000015,0.06191886504805513,100.0
missed,93,server psh packets,0.03087631663963479,0.01311448909378804,98.9247311827957
missed,93,client min inter-arrival,0.12724799576706142,0.06687106411203958,87.09677419354838
missed,93,total min packet size,-0.1409851497900422,0.06294104707778701,13.978494623655912
missed,93,server min inter-arrival,0.42521709812584746,0.1960974261329222,100.0
missed,93,total min inter-arrival,0.14584607691053422,0.06986325089472978,100.0
missed,93,server rst packets,-0.007225080883951598,0.008648130346623092,58.06451612903226
missed,93,total rst packets,0.041720626724293074,0.017197737345584694,81.72043010752688
