condition,model,check,passed,scored
zero_shot,llama1b,valid_json,19.0,20
zero_shot,qwen05,valid_json,20.0,20
zero_shot,qwen15,valid_json,0.0,20
few_shot,llama1b,valid_json,19.0,20
few_shot,qwen05,valid_json,19.0,20
few_shot,qwen15,valid_json,12.0,20
zero_shot,llama1b,length_ok,4.0,20
zero_shot,qwen05,length_ok,20.0,20
zero_shot,qwen15,length_ok,17.0,20
few_shot,llama1b,length_ok,20.0,20
few_shot,qwen05,length_ok,20.0,20
few_shot,qwen15,length_ok,15.0,20
zero_shot,llama1b,mitigation_present,1.0,20
zero_shot,qwen05,mitigation_present,20.0,20
zero_shot,qwen15,mitigation_present,0.0,20
few_shot,llama1b,mitigation_present,19.0,20
few_shot,qwen05,mitigation_present,15.0,20
few_shot,qwen15,mitigation_present,12.0,20
zero_shot,llama1b,names_top_feature,20.0,20
zero_shot,qwen05,names_top_feature,20.0,20
zero_shot,qwen15,names_top_feature,8.0,20
few_shot,llama1b,names_top_feature,19.0,20
few_shot,qwen05,names_top_feature,19.0,20
few_shot,qwen15,names_top_feature,20.0,20
zero_shot,llama1b,direction_correct,7.0,17
zero_shot,qwen05,direction_correct,10.0,19
zero_shot,qwen15,direction_correct,6.0,7
few_shot,llama1b,direction_correct,2.0,2
few_shot,qwen05,direction_correct,1.0,1
few_shot,qwen15,direction_correct,10.0,14
zero_shot,llama1b,numbers_grounded,19.0,20
zero_shot,qwen05,numbers_grounded,20.0,20
zero_shot,qwen15,numbers_grounded,20.0,20
few_shot,llama1b,numbers_grounded,20.0,20
few_shot,qwen05,numbers_grounded,18.0,20
few_shot,qwen15,numbers_grounded,20.0,20
zero_shot,llama1b,lowers_preserved,1.0,3
zero_shot,qwen05,lowers_preserved,0.0,2
zero_shot,qwen15,lowers_preserved,0.0,3
few_shot,llama1b,lowers_preserved,7.0,7
few_shot,qwen05,lowers_preserved,7.0,7
few_shot,qwen15,lowers_preserved,5.0,6
zero_shot,llama1b,no_false_comparison,7.0,7
zero_shot,qwen05,no_false_comparison,3.0,7
zero_shot,qwen15,no_false_comparison,7.0,7
few_shot,llama1b,no_false_comparison,7.0,7
few_shot,qwen05,no_false_comparison,7.0,7
few_shot,qwen15,no_false_comparison,7.0,7
zero_shot,llama1b,no_flood_language,20.0,20
zero_shot,qwen05,no_flood_language,19.0,20
zero_shot,qwen15,no_flood_language,17.0,20
few_shot,llama1b,no_flood_language,20.0,20
few_shot,qwen05,no_flood_language,20.0,20
few_shot,qwen15,no_flood_language,20.0,20
zero_shot,llama1b,mitigation_safe,1.0,1
zero_shot,qwen05,mitigation_safe,5.0,20
zero_shot,qwen15,mitigation_safe,,0
few_shot,llama1b,mitigation_safe,19.0,19
few_shot,qwen05,mitigation_safe,15.0,15
few_shot,qwen15,mitigation_safe,12.0,12
zero_shot,llama1b,advice_grounded,0.0,20
zero_shot,qwen05,advice_grounded,0.0,20
zero_shot,qwen15,advice_grounded,0.0,20
few_shot,llama1b,advice_grounded,0.0,20
few_shot,qwen05,advice_grounded,0.0,20
few_shot,qwen15,advice_grounded,0.0,20
