flow_key,scenario,prob,condition,model,model_id,raw_output,json_status,valid_json,verdict,confidence,explanation,mitigation,knowledge_sources,retrieve_seconds,text_for_eval,gen_seconds,prompt_tokens,gen_tokens,truncated,tokens_per_second
469f6439a49f3fd9,ddos_wisenet-camera_80,0.9991589784622192,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9992 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 4.62 bytes, contributing 8% of the decision. Server min inter-arrival is 0.0s, which is lower than the normal 0.0s and lowers suspicion. The remaining 10 features are all combined, indicating a strong correlation between these factors. The combined effect of these factors suggests a potential Slowloris attack, especially considering the high likelihood of a single machine taking down a server without using a lot of bandwidth.""}",clean,True,Attack (Slowloris),0.9992 (alert threshold 0.24),"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 4.62 bytes, contributing 8% of the decision. Server min inter-arrival is 0.0s, which is lower than the normal 0.0s and lowers suspicion. The remaining 10 features are all combined, indicating a strong correlation between these factors. The combined effect of these factors suggests a potential Slowloris attack, especially considering the high likelihood of a single machine taking down a server without using a lot of bandwidth.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.77); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.011660707998089492,"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 4.62 bytes, contributing 8% of the decision. Server min inter-arrival is 0.0s, which is lower than the normal 0.0s and lowers suspicion. The remaining 10 features are all combined, indicating a strong correlation between these factors. The combined effect of these factors suggests a potential Slowloris attack, especially considering the high likelihood of a single machine taking down a server without using a lot of bandwidth.",2.8895492080046097,1939,163,False,56.410183134607465
5c318988490d1158,dos_wisenet-camera_554,0.9991607666015624,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9992 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.02 bytes, contributing 4% of the decision. Server mean packet size is 67.14 bytes, which is lower than the normal 54.25 and lowers suspicion. Server inter-arrival is 1.0 seconds, which is similar to the normal 0.0 seconds and doesn't raise suspicion. The remaining 10 features are all combined, none individually significant.""}",clean,True,Attack (Slowloris),0.9992 (alert threshold 0.24),"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.02 bytes, contributing 4% of the decision. Server mean packet size is 67.14 bytes, which is lower than the normal 54.25 and lowers suspicion. Server inter-arrival is 1.0 seconds, which is similar to the normal 0.0 seconds and doesn't raise suspicion. The remaining 10 features are all combined, none individually significant.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.75); slowloris_imperva_article.pdf p3 (0.65); slowloris_imperva_article.pdf p3 (0.61),0.00775137500022538,"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.02 bytes, contributing 4% of the decision. Server mean packet size is 67.14 bytes, which is lower than the normal 54.25 and lowers suspicion. Server inter-arrival is 1.0 seconds, which is similar to the normal 0.0 seconds and doesn't raise suspicion. The remaining 10 features are all combined, none individually significant.",2.4945065829961095,1942,155,False,62.1365367630468
1777cce92165326e,dos_wisenet-camera_80,0.9991594552993774,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9992 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.58 bytes, contributing 3% of the decision. Server bytes is 338 bytes, which is lower than the normal 866 and lowers suspicion. The remaining 6% of the decision comes from server min inter-arrival, which is 1.0s, indicating 8% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack, as the attacker is exploiting a low-bandwidth attack technique.""}",clean,True,Attack (Slowloris),0.9992 (alert threshold 0.24),"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.58 bytes, contributing 3% of the decision. Server bytes is 338 bytes, which is lower than the normal 866 and lowers suspicion. The remaining 6% of the decision comes from server min inter-arrival, which is 1.0s, indicating 8% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack, as the attacker is exploiting a low-bandwidth attack technique.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.76); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.007542958002886735,"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a stddev packet size of 3.58 bytes, contributing 3% of the decision. Server bytes is 338 bytes, which is lower than the normal 866 and lowers suspicion. The remaining 6% of the decision comes from server min inter-arrival, which is 1.0s, indicating 8% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack, as the attacker is exploiting a low-bandwidth attack technique.",2.6590487920038868,1935,167,False,62.80441355652864
4daa82a99ec18615,ddos_wisenet-camera_80,0.998537540435791,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9985 (alert threshold 0.24)"",""explanation"":""client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21% of the decision. Total min packet size is 74 bytes against a normal 54 and adds 15% of the decision. Remaining 10 features: 26% combined, none individually significant."", ""mitigation"":""Monitor and manage the connection pool, update web server software, and configure connection limits.""}",clean,True,Attack (Slowloris),0.9985 (alert threshold 0.24),"client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21% of the decision. Total min packet size is 74 bytes against a normal 54 and adds 15% of the decision. Remaining 10 features: 26% combined, none individually significant.","Monitor and manage the connection pool, update web server software, and configure connection limits.",cloudflare_slowloris_full_article.pdf p1 (0.82); cloudflare_slowloris_full_article.pdf p1 (0.78); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008012209000298753,"client max packet size is 74 bytes against a normal 106 and carries 38% of the decision. server min inter-arrival is 0.0s against a normal 0.0s and adds 21% of the decision. Total min packet size is 74 bytes against a normal 54 and adds 15% of the decision. Remaining 10 features: 26% combined, none individually significant.",2.392236707994016,1939,149,False,62.28480630787676
a35c7fb55c6742ba,ddos_wisenet-camera_80,0.9986259937286376,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9986"",""explanation"":""The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and carries 42% of the decision. Server bytes is 296 bytes, which is lower than the normal 866 and contributes 10% of the decision. Server min inter-arrival is 1.0s, which is lower than the normal 0.0s and raises suspicion. These three factors together account for 40% of the decision, indicating that Slowloris is likely the cause of the attack.""}",clean,True,Attack (Slowloris),0.9986,"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and carries 42% of the decision. Server bytes is 296 bytes, which is lower than the normal 866 and contributes 10% of the decision. Server min inter-arrival is 1.0s, which is lower than the normal 0.0s and raises suspicion. These three factors together account for 40% of the decision, indicating that Slowloris is likely the cause of the attack.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.78); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008318124993820675,"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and carries 42% of the decision. Server bytes is 296 bytes, which is lower than the normal 866 and contributes 10% of the decision. Server min inter-arrival is 1.0s, which is lower than the normal 0.0s and raises suspicion. These three factors together account for 40% of the decision, indicating that Slowloris is likely the cause of the attack.",2.314228917006403,1938,142,False,61.3595305790603
0ea7bad5dbb85bb1,ddos_wisenet-camera_80,0.9986777901649476,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9987 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server mean packet size is 74 bytes, which is slightly higher than the normal 54.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than usual.""}",clean,True,Attack (Slowloris),0.9987 (alert threshold 0.24),"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server mean packet size is 74 bytes, which is slightly higher than the normal 54.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than usual.",,cloudflare_slowloris_full_article.pdf p1 (0.82); cloudflare_slowloris_full_article.pdf p1 (0.78); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008244415992521681,"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server mean packet size is 74 bytes, which is slightly higher than the normal 54.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than usual.",2.343676165997749,1942,144,False,61.44193557504407
e340507fa26fae9e,dos_wisenet-camera_554,0.9991577863693236,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9992 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server mean packet size is 68.86 bytes, which is lower than the normal 54.25 and lowers suspicion. Server bytes is 482 bytes, which is higher than the normal 866 and argues against the attack label. The remaining 10 features are all individual statistics, none individually significant, and together contribute 3% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack due to the high packet sizes and unusual patterns."", ""mitigation"": [""Monitor and analyze the server's connection pool for suspicious behavior. Increase the connection time limit for clients to prevent them from staying open for an extended period.""]}",clean,True,Attack (Slowloris),0.9992 (alert threshold 0.24),"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server mean packet size is 68.86 bytes, which is lower than the normal 54.25 and lowers suspicion. Server bytes is 482 bytes, which is higher than the normal 866 and argues against the attack label. The remaining 10 features are all individual statistics, none individually significant, and together contribute 3% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack due to the high packet sizes and unusual patterns.",Monitor and analyze the server's connection pool for suspicious behavior. Increase the connection time limit for clients to prevent them from staying open for an extended period.,cloudflare_slowloris_full_article.pdf p1 (0.82); cloudflare_slowloris_full_article.pdf p1 (0.77); slowloris_imperva_article.pdf p3 (0.65); slowloris_imperva_article.pdf p3 (0.61),0.007984083000337705,"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server mean packet size is 68.86 bytes, which is lower than the normal 54.25 and lowers suspicion. Server bytes is 482 bytes, which is higher than the normal 866 and argues against the attack label. The remaining 10 features are all individual statistics, none individually significant, and together contribute 3% of the decision. These statistics suggest that the flow is likely part of a Slowloris attack due to the high packet sizes and unusual patterns.",3.1796515000023646,1938,201,False,63.21447491961006
d247007d2316ce78,ddos_wisenet-camera_80,0.9991549253463744,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9992 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 0.0s, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest that the flow is likely part of a Slowloris attack, where the attacker keeps connections open for an extended period while maintaining a low rate of response times.""}",clean,True,Attack (Slowloris),0.9992 (alert threshold 0.24),"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 0.0s, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest that the flow is likely part of a Slowloris attack, where the attacker keeps connections open for an extended period while maintaining a low rate of response times.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.77); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008249083010014147,"The flow's client max packet size is 234 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 0.0s, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest that the flow is likely part of a Slowloris attack, where the attacker keeps connections open for an extended period while maintaining a low rate of response times.",2.4975102500029607,1940,155,False,62.06180735387022
18c2931c2ae44927,ddos_wisenet-camera_80,0.9988583326339722,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9989 (alert threshold 0.24)"",""explanation"":""client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25 and adds 7%, so these two combine rather than either being decisive alone. remaining 10 features: 33% combined, none individually significant."", ""mitigation"": [""Monitor and manage the connection pool to detect unusual behavior. If suspicious connections are detected, free them immediately.""]}",clean,True,Attack (Slowloris),0.9989 (alert threshold 0.24),"client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25 and adds 7%, so these two combine rather than either being decisive alone. remaining 10 features: 33% combined, none individually significant.","Monitor and manage the connection pool to detect unusual behavior. If suspicious connections are detected, free them immediately.",cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.77); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008389833994442597,"client max packet size is 255 bytes against a normal 106 and carries 48% of the decision. server min inter-arrival is 1.0s against a normal 0.0s and adds 12%, so these two combine rather than either being decisive alone. server stddev packet size is 0 bytes against a normal 0.25 and adds 7%, so these two combine rather than either being decisive alone. remaining 10 features: 33% combined, none individually significant.",2.687997999993968,1940,169,False,62.87207058947933
6864815a323f55cd,dos_wisenet-camera_80,0.9987527132034302,rag,qwen05,Qwen/Qwen2.5-0.5B-Instruct,"{""verdict"":""Attack (Slowloris)"",""confidence"":""0.9988 (alert threshold 0.24)"",""explanation"":""The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than normal, preventing the server from releasing them quickly enough.""}",clean,True,Attack (Slowloris),0.9988 (alert threshold 0.24),"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than normal, preventing the server from releasing them quickly enough.",,cloudflare_slowloris_full_article.pdf p1 (0.81); cloudflare_slowloris_full_article.pdf p1 (0.77); slowloris_imperva_article.pdf p3 (0.66); slowloris_imperva_article.pdf p3 (0.66),0.008677874997374602,"The flow's client max packet size is 255 bytes, which is significantly higher than the normal 106 and raises suspicion. Server stats show a min inter-arrival of 1 second, which is lower than the normal 0.0s and lowers suspicion. Server stats show a stddev packet size of 0 bytes, which is lower than the normal 0.25 and lowers suspicion. Together, these statistics suggest a Low and Slow attack, where the attacker uses partial HTTP requests to hold connections open for longer periods than normal, preventing the server from releasing them quickly enough.",2.470927834001486,1939,153,False,61.92006010642073
