model,condition,flow_key,scenario,strict_json,recoverable_output,schema_ok,names_top_feature,direction_correct,direction_wrong_on,numbers_grounded,ungrounded,lowers_preserved,lowers_flattened,no_false_comparison,false_comparison_on,no_flood_language,flood_phrase,mitigation_present,mitigation_safe,advice_grounded,advice_generic_only,template_similarity,not_templated,retrieved_has_mitigation,quoted_run_words,not_quoting,n_words,length_ok,gen_seconds
qwen05,rag,469f6439a49f3fd9,ddos_wisenet-camera_80,True,True,False,True,True,,True,,True,,False,server min inter-arrival,True,,False,,False,False,0.09234234234234234,True,True,9,False,94,False,2.8895492080046097
qwen05,rag,5c318988490d1158,dos_wisenet-camera_554,True,True,False,True,False,server mean packet size,True,,,,,,True,,False,,False,False,0.10621761658031088,True,True,2,True,79,True,2.4945065829961095
qwen05,rag,1777cce92165326e,dos_wisenet-camera_80,True,True,False,True,True,,False,8,,,,,True,,False,,False,False,0.09820359281437126,True,True,4,True,91,False,2.6590487920038868
qwen05,rag,4daa82a99ec18615,ddos_wisenet-camera_80,True,True,False,True,,,True,,,,True,,True,,True,True,True,False,0.44299674267100975,True,True,4,True,57,True,2.392236707994016
qwen05,rag,a35c7fb55c6742ba,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.11171662125340599,True,True,2,True,76,True,2.314228917006403
qwen05,rag,0ea7bad5dbb85bb1,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.10314465408805032,True,True,3,True,82,False,2.343676165997749
qwen05,rag,e340507fa26fae9e,dos_wisenet-camera_554,True,True,False,True,False,"server mean packet size,server bytes",True,,True,,,,True,,True,True,True,False,0.09479768786127167,True,True,4,True,95,False,3.1796515000023646
qwen05,rag,d247007d2316ce78,ddos_wisenet-camera_80,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,False,,False,False,0.09820359281437126,True,True,4,True,90,False,2.4975102500029607
qwen05,rag,18c2931c2ae44927,ddos_wisenet-camera_80,True,True,False,True,,,True,,,,,,True,,True,True,True,False,0.5875706214689266,True,True,3,True,71,True,2.687997999993968
qwen05,rag,6864815a323f55cd,dos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.09557109557109557,True,True,3,True,92,False,2.470927834001486
qwen05,rag,363bac860de089bc,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.10314465408805032,True,True,3,True,82,False,2.360332832991844
qwen05,rag,79fee9f805fddef3,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.10314465408805032,True,True,3,True,82,False,2.3672303750063293
qwen05,rag,7d8512373bb2b9db,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.10314465408805032,True,True,3,True,82,False,2.367980750001152
qwen05,rag,16c6c7918409991c,dos_wisenet-camera_80,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,False,,False,False,0.1166429587482219,True,True,2,True,65,True,2.1538085420033894
qwen05,rag,b525457ec66a13b9,dos_wisenet-camera_554,True,True,False,True,True,,True,,True,,False,server min inter-arrival,True,,False,,False,False,0.09234234234234234,True,True,9,False,94,False,2.6356309999973746
qwen05,rag,eecc266306549a70,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.10314465408805032,True,True,3,True,82,False,2.4010849589976715
qwen05,rag,69653aa35a48deac,dos_wisenet-camera_554,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,False,,False,False,0.10846560846560846,True,True,4,True,78,True,2.385426542008645
qwen05,rag,6bd41264607a90ba,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,False,,False,False,0.09557109557109557,True,True,3,True,92,False,2.5332453749870183
qwen05,rag,c059293f4df6b774,dos_wisenet-camera_554,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,False,,False,False,0.10459183673469388,True,True,2,True,79,True,2.4310020830016583
