model,condition,flow_key,scenario,strict_json,recoverable_output,schema_ok,names_top_feature,direction_correct,direction_wrong_on,numbers_grounded,ungrounded,lowers_preserved,lowers_flattened,no_false_comparison,false_comparison_on,no_flood_language,flood_phrase,mitigation_present,mitigation_safe,advice_grounded,advice_generic_only,template_similarity,not_templated,retrieved_has_mitigation,quoted_run_words,not_quoting,n_words,length_ok,gen_seconds
qwen05,zero_shot,469f6439a49f3fd9,ddos_wisenet-camera_80,True,True,False,True,True,,True,,False,"server stddev packet size,server min inter-arrival",False,server min inter-arrival,True,,True,False,False,False,0.07378129117259552,True,,,,63,True,2.217976832995191
qwen05,zero_shot,5c318988490d1158,dos_wisenet-camera_554,True,True,False,True,,,True,,,,,,True,,True,True,False,True,0.08495575221238938,True,,,,31,True,1.454256582990638
qwen05,zero_shot,1777cce92165326e,dos_wisenet-camera_80,True,True,False,True,True,,True,,,,,,True,,True,False,False,False,0.14428857715430862,True,,,,22,True,0.9853987919923384
qwen05,zero_shot,4daa82a99ec18615,ddos_wisenet-camera_80,True,True,False,True,False,client max packet size,True,,,,True,,True,,True,False,False,False,0.09020217729393468,True,,,,42,True,1.518078624998452
qwen05,zero_shot,a35c7fb55c6742ba,ddos_wisenet-camera_80,True,True,False,True,False,"server bytes,server min inter-arrival",True,,,,,,True,,True,False,False,False,0.06627218934911243,True,,,,76,True,2.2046907920012018
qwen05,zero_shot,0ea7bad5dbb85bb1,ddos_wisenet-camera_80,True,True,False,True,False,server mean packet size,True,,,,,,True,,True,False,False,False,0.07503234152652005,True,,,,65,True,1.8716390829940792
qwen05,zero_shot,e340507fa26fae9e,dos_wisenet-camera_554,True,True,False,True,False,server bytes,True,,,,,,False,large volume,True,True,False,True,0.0880503144654088,True,,,,47,True,1.5390959579963237
qwen05,zero_shot,d247007d2316ce78,ddos_wisenet-camera_80,True,True,False,True,True,,True,,,,True,,True,,True,False,False,False,0.07304785894206549,True,,,,66,True,1.895788124995306
qwen05,zero_shot,18c2931c2ae44927,ddos_wisenet-camera_80,True,True,False,True,True,,True,,,,,,True,,True,True,False,True,0.07397959183673469,True,,,,67,True,2.2187695000029635
qwen05,zero_shot,6864815a323f55cd,dos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,True,False,False,False,0.04962779156327544,True,,,,61,True,1.644019458006369
qwen05,zero_shot,363bac860de089bc,ddos_wisenet-camera_80,True,True,False,True,False,server mean packet size,True,,,,,,True,,True,False,False,False,0.07503234152652005,True,,,,65,True,1.8785681250010384
qwen05,zero_shot,79fee9f805fddef3,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,True,False,False,False,0.08481532147742818,True,,,,61,True,1.7989487500017276
qwen05,zero_shot,7d8512373bb2b9db,ddos_wisenet-camera_80,True,True,False,True,False,server min inter-arrival,True,,,,,,True,,True,False,False,False,0.08481532147742818,True,,,,61,True,1.8154595420055557
qwen05,zero_shot,16c6c7918409991c,dos_wisenet-camera_80,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,True,False,False,False,0.07342143906020558,True,,,,49,True,1.4467499580059666
qwen05,zero_shot,b525457ec66a13b9,dos_wisenet-camera_554,True,True,False,True,True,,True,,False,server min inter-arrival,False,server min inter-arrival,True,,True,False,False,False,0.07142857142857142,True,,,,63,True,1.8468984159990216
qwen05,zero_shot,eecc266306549a70,ddos_wisenet-camera_80,True,True,False,True,False,server mean packet size,True,,,,,,True,,True,False,False,False,0.07503234152652005,True,,,,65,True,1.869144291995326
qwen05,zero_shot,69653aa35a48deac,dos_wisenet-camera_554,True,True,False,True,True,,True,,,,True,,True,,True,True,False,True,0.05502392344497608,True,,,,65,True,1.93237570898782
qwen05,zero_shot,6bd41264607a90ba,ddos_wisenet-camera_80,True,True,False,True,True,,True,,,,,,True,,True,True,False,True,0.07397959183673469,True,,,,67,True,2.1999849590065423
qwen05,zero_shot,c059293f4df6b774,dos_wisenet-camera_554,True,True,False,True,True,,True,,,,False,server min inter-arrival,True,,True,False,False,False,0.07342143906020558,True,,,,49,True,1.449332374992082
qwen05,zero_shot,2cf40cca8358bfd9,dos_wisenet-camera_554,True,True,False,True,True,,True,,,,,,True,,True,False,False,False,0.08411214953271028,True,,,,43,True,1.4776910420041531
llama1b,zero_shot,469f6439a49f3fd9,ddos_wisenet-camera_80,False,True,False,True,True,,True,,True,,True,,True,,False,,False,False,0.02459791863765374,True,,,,123,False,3.1541224579996197
llama1b,zero_shot,5c318988490d1158,dos_wisenet-camera_554,False,True,False,True,,,False,77.89,,,,,True,,False,,False,False,0.026262626262626262,True,,,,116,False,3.215594041001168
llama1b,zero_shot,1777cce92165326e,dos_wisenet-camera_80,False,True,False,True,False,client max packet size,True,,,,,,True,,False,,False,False,0.012328117591275486,True,,,,314,False,6.850876708995202
llama1b,zero_shot,4daa82a99ec18615,ddos_wisenet-camera_80,False,True,False,True,False,client max packet size,True,,,,True,,True,,False,,False,False,0.027339642481598318,True,,,,109,False,3.158934999999474
llama1b,zero_shot,a35c7fb55c6742ba,ddos_wisenet-camera_80,False,True,False,True,True,,True,,,,,,True,,False,,False,False,0.02672147995889003,True,,,,102,False,2.833509165997384
llama1b,zero_shot,0ea7bad5dbb85bb1,ddos_wisenet-camera_80,False,True,False,True,False,"server min inter-arrival,server mean packet size",True,,,,,,True,,False,,False,False,0.023701002734731084,True,,,,135,False,3.438222999990103
