serialisation,model,n,mcc_m,mcc_s,f1_m,prec_m,rec_m,rec_s,fn_m
raw,bert-tiny,3,0.8916275426482141,0.007806800304446028,0.9064066189181483,0.9995584988962473,0.8291802094618995,0.011482927479656648,157.66666666666666
raw,bert-mini,3,0.9341232939532249,0.00638551270382463,0.944721063517021,1.0,0.8952690501986277,0.01006670990593453,96.66666666666667
raw,electra-small,3,0.9032534651243572,0.007361256549630032,0.9170624709569518,1.0,0.8468761285662695,0.011482927479656612,141.33333333333334
raw,tinybert-4l,3,0.9259130385529225,0.06379103221868627,0.935888750772713,1.0,0.8829902491874323,0.10072344132070604,108.0
raw,minilm-l6,3,0.885980752479305,0.0061232919524865925,0.9013332111604893,0.9982363315696648,0.8215962441314554,0.008131693932248232,164.66666666666666
readable,bert-tiny,3,0.8948101089069785,0.021937215292896012,0.9092444325597816,0.9991193306913254,0.8345973275550741,0.03357448044023532,152.66666666666666
readable,bert-mini,3,0.9122262877595043,0.02119525009895269,0.9250601257336939,1.0,0.860960635608523,0.03322302818954693,128.33333333333334
readable,electra-small,3,0.9117066081122442,0.031112149070305406,0.9243827808697972,1.0,0.8602383531960998,0.048802191244009585,129.0
readable,tinybert-4l,3,0.9154097674089395,0.02969442767953372,0.9277581327335094,1.0,0.8660166124954857,0.04662918985578395,123.66666666666667
readable,minilm-l6,3,0.9082702955556607,0.026360037180770325,0.9213772560014019,1.0,0.8548212351029253,0.04128398457910652,134.0
